9.3,-3.27,0.2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.4,-2.95,0.052,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.5,-2.94,0.047,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.6,-2.79,0.079,32,-3.043,0.047,29,0,0,0,0,0,0,0,0,0,0,0,0
9.7,-2.931,0.076,36,-3.021,0.1,34,0,0,0,0,0,0,0,0,0,0,0,0
9.8,-2.818,0.096,48,-2.88,0.2,40,0,0,0,0,0,0,0,0,0,0,0,0
9.9,-2.91,0.02,43,-2.88,0.1,57,-3.02,0.2,33,0,0,0,0,0,0,0,0,0
10,-2.754,0.1,56,-2.753,0.041,91,-2.991,0.2,52,0,0,0,0,0,0,0,0,0
10.1,-2.773,0.04,60,-2.791,0.064,88,-2.908,0.1,74,0,0,0,0,0,0,0,0,0
10.2,-2.655,0.077,76,-2.7,0.059,114,-2.854,0.1,87,-2.988,0.1,107,0,0,0,0,0,0
10.3,-2.694,0.082,69,-2.672,0.037,118,-2.889,0.07,92,-2.814,0.049,166,0,0,0,0,0,0
10.4,-2.595,0.067,84,-2.682,0.027,128,-2.73,0.044,126,-2.795,0.042,208,0,0,0,0,0,0
10.5,-2.76,0.067,62,-2.631,0.068,137,-2.726,0.09,142,-2.746,0.05,255,-2.672,0.049,231,0,0,0
10.6,-2.702,0.059,72,-2.628,0.1,139,-2.765,0.1,139,-2.783,0.032,257,-2.745,0.036,272,0,0,0
10.7,-2.681,0.077,71,-2.682,0.077,122,-2.713,0.047,136,-2.784,0.031,277,-2.781,0.062,283,0,0,0
10.8,-2.799,0.096,55,-2.698,0.072,116,-2.83,0.1,119,-2.792,0.04,273,-2.745,0.045,334,-2.861,0.061,241
10.9,-2.79,0.076,50,-2.856,0.1,76,-2.915,0.031,103,-2.837,0.063,239,-2.788,0.032,322,-2.913,0.041,275
11,-2.913,0.082,32,-2.927,0.079,71,-2.967,0.052,90,-2.942,0.027,199,-2.819,0.056,280,-2.914,0.042,296
11.1,-2.97,0.3,20,-2.942,0.049,66,-3.22,0.1,53,-3.114,0.058,139,-3.008,0.022,213,-3.04,0.034,250
11.2,-3.17,0.073,8,-3.248,0.081,33,-3.317,0.2,40,-3.325,0.063,84,-3.162,0.091,128,-3.283,0.034,160
11.3,-3.58,0.065,5,-3.44,0.2,23,-3.71,0.1,17,-3.431,0.081,62,-3.43,0.076,82,-3.566,0.085,97
11.4,0,0,0,-3.72,0.1,9,-3.81,0.1,13,-3.85,0.065,27,-3.606,0.1,58,-3.63,0.087,63
11.5,0,0,0,-4.71,1.2,1,-4.25,0.3,5,-3.86,0.084,18,-4.09,0.1,15,-3.95,0.1,31
11.6,0,0,0,0,0,0,-4.46,0.045,3,-4.59,0.5,6,-4.29,0.1,9,-4.41,0.089,16
11.7,0,0,0,0,0,0,-5.09,0.2,1,-4.33,0.1,5,-5.12,0.8,2,-4.68,0.099,8
11.8,0,0,0,0,0,0,-5.05,0.2,1,0,0,0,0,0,0,-5.33,0.4,2
11.9,0,0,0,0,0,0,0,0,0,0,0,0,-4.48,0.2,1,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.71,1.1,1
